label,accession,type,start,end,notes
2'-O-methyltransferase nsp16,P0DTD1,1,1,1,1
3C-like proteinase nsp5,P0DTC1,1,1,1,1
3C-like proteinase nsp5,P0DTD1,1,1,1,1
5r7y,P0DTD1,2,2,2,2
5r7y,PRO_0000449623,2,2,2,2
5r7z,P0DTD1,2,2,2,2
5r7z,PRO_0000449623,2,2,2,2
5r80,P0DTD1,2,2,2,2
5r80,PRO_0000449623,2,2,2,2
5r81,P0DTD1,2,2,2,2
5r81,PRO_0000449623,2,2,2,2
5r82,P0DTD1,2,2,2,2
5r82,PRO_0000449623,2,2,2,2
5r83,P0DTD1,2,2,2,2
5r83,PRO_0000449623,2,2,2,2
5r84,P0DTD1,2,2,2,2
5r84,PRO_0000449623,2,2,2,2
5r8t,P0DTD1,2,2,2,2
5r8t,PRO_0000449623,2,2,2,2
5re4,P0DTD1,2,2,2,2
5re4,PRO_0000449623,2,2,2,2
5re5,P0DTD1,2,2,2,2
5re5,PRO_0000449623,2,2,2,2
5re6,P0DTD1,2,2,2,2
5re6,PRO_0000449623,2,2,2,2
5re7,P0DTD1,2,2,2,2
5re7,PRO_0000449623,2,2,2,2
5re8,P0DTD1,2,2,2,2
5re8,PRO_0000449623,2,2,2,2
5re9,P0DTD1,2,2,2,2
5re9,PRO_0000449623,2,2,2,2
5rea,P0DTD1,2,2,2,2
5rea,PRO_0000449623,2,2,2,2
5reb,P0DTD1,2,2,2,2
5reb,PRO_0000449623,2,2,2,2
5rec,P0DTD1,2,2,2,2
5rec,PRO_0000449623,2,2,2,2
5red,P0DTD1,2,2,2,2
5red,PRO_0000449623,2,2,2,2
5ree,P0DTD1,2,2,2,2
5ree,PRO_0000449623,2,2,2,2
5ref,P0DTD1,2,2,2,2
5ref,PRO_0000449623,2,2,2,2
5reg,P0DTD1,2,2,2,2
5reg,PRO_0000449623,2,2,2,2
5reh,P0DTD1,2,2,2,2
5reh,PRO_0000449623,2,2,2,2
5rei,P0DTD1,2,2,2,2
5rei,PRO_0000449623,2,2,2,2
5rej,P0DTD1,2,2,2,2
5rej,PRO_0000449623,2,2,2,2
5rek,P0DTD1,2,2,2,2
5rek,PRO_0000449623,2,2,2,2
5rel,P0DTD1,2,2,2,2
5rel,PRO_0000449623,2,2,2,2
5rem,P0DTD1,2,2,2,2
5rem,PRO_0000449623,2,2,2,2
5ren,P0DTD1,2,2,2,2
5ren,PRO_0000449623,2,2,2,2
5reo,P0DTD1,2,2,2,2
5reo,PRO_0000449623,2,2,2,2
5rep,P0DTD1,2,2,2,2
