label,accession,type,start,end,notes
2'-O-methyltransferase nsp16,1,1,1,1,1
3C-like proteinase nsp5,2,2,2,2,2
5r7y,4,4,4,4,4
5r7z,4,4,4,4,4
5r80,4,4,4,4,4
5r81,4,4,4,4,4
5r82,4,4,4,4,4
5r83,4,4,4,4,4
5r84,4,4,4,4,4
5r8t,4,4,4,4,4
5re4,4,4,4,4,4
5re5,4,4,4,4,4
5re6,4,4,4,4,4
5re7,4,4,4,4,4
5re8,4,4,4,4,4
5re9,4,4,4,4,4
5rea,4,4,4,4,4
5reb,4,4,4,4,4
5rec,4,4,4,4,4
5red,4,4,4,4,4
5ree,4,4,4,4,4
5ref,4,4,4,4,4
5reg,4,4,4,4,4
5reh,4,4,4,4,4
5rei,4,4,4,4,4
5rej,4,4,4,4,4
5rek,4,4,4,4,4
5rel,4,4,4,4,4
5rem,4,4,4,4,4
5ren,4,4,4,4,4
5reo,4,4,4,4,4
5rep,4,4,4,4,4
5rer,4,4,4,4,4
5res,4,4,4,4,4
5ret,4,4,4,4,4
5reu,4,4,4,4,4
5rev,4,4,4,4,4
5rew,4,4,4,4,4
5rex,4,4,4,4,4
5rey,4,4,4,4,4
5rez,4,4,4,4,4
5rf0,4,4,4,4,4
5rf1,4,4,4,4,4
5rf2,4,4,4,4,4
5rf3,4,4,4,4,4
5rf4,4,4,4,4,4
5rf5,4,4,4,4,4
5rf6,4,4,4,4,4
5rf7,4,4,4,4,4
5rf8,4,4,4,4,4
5rf9,4,4,4,4,4
5rfa,4,4,4,4,4
5rfb,4,4,4,4,4
5rfc,4,4,4,4,4
5rfd,4,4,4,4,4
5rfe,4,4,4,4,4
5rff,4,4,4,4,4
5rfg,4,4,4,4,4
5rfh,4,4,4,4,4
5rfi,4,4,4,4,4
5rfj,4,4,4,4,4
5rfk,4,4,4,4,4
5rfl,4,4,4,4,4
5rfm,4,4,4,4,4
5rfn,4,4,4,4,4
5rfo,4,4,4,4,4
5rfp,4,4,4,4,4
5rfq,4,4,4,4,4
5rfr,4,4,4,4,4
5rfs,4,4,4,4,4
5rft,4,4,4,4,4
5rfu,4,4,4,4,4
5rfv,4,4,4,4,4
5rfw,4,4,4,4,4
5rfx,4,4,4,4,4
5rfy,4,4,4,4,4
5rfz,4,4,4,4,4
5rg0,4,4,4,4,4
5rg1,4,4,4,4,4
5rg2,4,4,4,4,4
5rg3,4,4,4,4,4
5rgg,4,4,4,4,4
5rgh,4,4,4,4,4
5rgi,4,4,4,4,4
5rgj,4,4,4,4,4
5rgk,4,4,4,4,4
5rgl,4,4,4,4,4
5rgm,4,4,4,4,4
5rgn,4,4,4,4,4
5rgo,4,4,4,4,4
5rgp,4,4,4,4,4
5rgq,4,4,4,4,4
5rgr,4,4,4,4,4
5rgs,4,4,4,4,4
5rgt,4,4,4,4,4
5rgu,4,4,4,4,4
5rgv,4,4,4,4,4
5rgw,4,4,4,4,4
5rgx,4,4,4,4,4
5rgy,4,4,4,4,4
5rgz,4,4,4,4,4
5rh0,4,4,4,4,4
5rh1,4,4,4,4,4
5rh2,4,4,4,4,4
